Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function
IP_ACTIVE,172.16.106.31,ac:64:17:35:60:50,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,
MAC,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,
MAC_PROTOCOL,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,
MAC_MAC,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,
MAC_MAC_PROTOCOL,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,
MAC_FUNCTION,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,REQUEST
MAC_MAC_FUNCTION,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,REQUEST
MAC_ACTIVE,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,
ARP_GRATUITOUS_REQUEST,0.0.0.0,18:db:f2:38:71:39,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,18:db:f2:38:71:39,,
THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.12,28:63:36:a9:ac:eb,172.16.106.22,00:30:de:41:df:28,Profinet,28:63:36:a9:ac:eb,172.16.106.12,
UDP_PORT_SCAN,172.16.106.11,28:63:36:9a:90:b3,172.16.106.21,00:a0:45:9b:55:d9,Profinet,28:63:36:9a:90:b3,172.16.106.11,
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,OPEN CONNECTION
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.12,STATE LIST
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,STATE LIST
IP_IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.12,28:63:36:a9:ac:eb,S7,,,OPEN CONNECTION
IP,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,
IP_IP,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,
MAC_MAC,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,,,
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,,,
IP_MAC,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,
IP_ACTIVE,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,
IP_PROTOCOL,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,
IP_IP_PROTOCOL,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,
PROGRAM_UPLOAD,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,18:db:f2:38:71:39,172.16.106.199,
PROGRAM_UPLOAD,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,28:63:36:a9:de:e6,172.16.106.14,
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,DOWNLOAD END
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,DOWNLOAD REQUEST
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,DOWNLOAD
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,OPEN CONNECTION
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,PLC CONTROL
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,PLC CONTROL
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,DOWNLOAD END
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,DOWNLOAD
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,DOWNLOAD REQUEST
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,DOWNLOAD
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,OPEN CONNECTION
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,DOWNLOAD END
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,PLC CONTROL
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,DOWNLOAD REQUEST
MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,18:db:f2:38:71:39,,REPLY
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,,,REPLY
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.199,PLC STOP
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,172.16.106.14,PLC STOP
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,,,PLC STOP
MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,
MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,
MAC_MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,
MAC_MAC,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,
MAC_FUNCTION,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,28:63:36:9a:90:b3,,PN DCP IDENTIFY REQUEST
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,PN DCP IDENTIFY REQUEST
MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,54:e3:b0:00:55:b7,,
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,,,
IP_ACTIVE,172.16.106.25,54:e3:b0:00:55:b7,172.16.106.13,ac:64:17:03:4f:c5,Profinet,,172.16.106.25,
MAC,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,
MAC_PROTOCOL,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,
MAC_MAC,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,,,
MAC_MAC_PROTOCOL,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,,,
MAC_ACTIVE,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,
MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,PN DCP SET REQUEST
MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,54:e3:b0:00:55:b7,,PN DCP SET REQUEST
MAC_MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,,,PN DCP SET REQUEST
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,00:50:56:c0:00:01,,PN DCP SET SUCCESS
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,54:e3:b0:00:55:b7,,PN DCP SET SUCCESS
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,,,PN DCP SET SUCCESS
MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,01:0e:cf:00:00:00,,PN DCP IDENTIFY REQUEST
MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,ac:64:17:03:4f:c5,,PN DCP IDENTIFY REQUEST
MAC_MAC_FUNCTION,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,,,PN DCP IDENTIFY REQUEST
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,54:e3:b0:00:55:b7,,REPLY
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,ARP,,,REPLY
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONNECT REQUEST
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONNECT REQUEST
CYCLIC_MESSAGE_OUT_OF_ORDER,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,
CYCLIC_MESSAGE_OUT_OF_ORDER,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,ac:64:17:03:4f:c5,,
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONTROL REQUEST
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONNECT RESPONSE
IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,172.16.106.25,DCE RPC CONTROL RESPONSE
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONTROL RESPONSE
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONNECT RESPONSE
IP_IP_FUNCTION,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,,,DCE RPC CONTROL REQUEST
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,ACYCLIC IO ALARM LOW
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,54:e3:b0:00:55:b7,,PN INVALID
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,ac:64:17:03:4f:c5,,PN INVALID
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,,,ACYCLIC IO ALARM LOW
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,ac:64:17:03:4f:c5,Profinet,,,PN INVALID
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,28:63:36:9a:90:b3,,PN INVALID
MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,28:63:36:9a:90:b3,,ACYCLIC IO ALARM HIGH
MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,28:63:36:a9:de:e6,,ACYCLIC IO ALARM HIGH
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,54:e3:b0:00:55:b1,,ACYCLIC IO ALARM LOW
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,54:e3:b0:00:55:b1,,PN INVALID
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,,,ACYCLIC IO ALARM LOW
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,Profinet,,,ACYCLIC IO ALARM HIGH
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,,,PN INVALID
IP_IP,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,,
MAC_MAC,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,18:db:f2:38:71:39,ARP,,,
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,18:db:f2:38:71:39,ARP,,,
IP_IP_PROTOCOL,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,,
IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.199,STATE LIST
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,,STATE LIST
IP_IP_FUNCTION,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,,,OPEN CONNECTION
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,18:db:f2:38:71:39,ARP,,,REPLY
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.22,DCE RPC READ RESPONSE
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.22,DCE RPC READ REQUEST
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.12,DCE RPC READ REQUEST
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.12,DCE RPC READ RESPONSE
IP_IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,,DCE RPC READ RESPONSE
IP_IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,,DCE RPC READ REQUEST
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,18:db:f2:38:71:39,ARP,,,REQUEST
THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.25,54:e3:b0:00:55:b7,Profinet,ac:64:17:03:4f:c5,172.16.106.13,
THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.199,18:db:f2:38:71:39,172.16.106.14,28:63:36:a9:de:e6,S7,28:63:36:a9:de:e6,172.16.106.14,
THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.199,18:db:f2:38:71:39,172.16.106.12,28:63:36:a9:ac:eb,S7,28:63:36:a9:ac:eb,172.16.106.12,
THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,00:30:de:41:df:28,172.16.106.22,
